video_id,clip_id,y_true,pred_v,pred_a,pred_t,mode,video_path,text_len,has_face,has_audio,has_text,label_A,label_V,label_T
video_0001,0001,-1.0,-0.59637451171875,-0.97630113,-0.7689629793167114,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0001.mp4,7,asd,True,True,-1.0,-1.0,-1.0
video_0001,0002,1.0,0.9305419921875,0.7507726,0.9074942469596864,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0002.mp4,9,asd,True,True,0.8,1.0,1.0
video_0001,0003,-1.0,-0.627685546875,-0.8681088,0.0697655230760574,test,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0003.mp4,19,asd,True,True,-1.0,-1.0,-0.8
video_0001,0004,-1.0,-0.9124755859375,-0.96289593,-0.4732618629932403,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0004.mp4,7,asd,True,True,-1.0,-1.0,-0.6
video_0001,0005,-1.0,-0.8211669921875,-0.98294705,-0.8692781925201416,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0005.mp4,21,asd,True,True,-1.0,-1.0,-1.0
video_0001,0006,-1.0,-0.58642578125,-0.82376903,0.2223976105451584,test,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0006.mp4,18,asd,True,True,-1.0,-1.0,-1.0
video_0001,0007,1.0,0.9263916015625,0.8671438,0.5189789533615112,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0007.mp4,33,asd,True,True,1.0,1.0,1.0
video_0001,0008,-1.0,-0.8487548828125,-0.95250034,-0.8828770518302917,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0008.mp4,17,asd,True,True,-1.0,-1.0,-0.8
video_0001,0009,0.4,0.00457763671875,-0.089174055,0.406529426574707,test,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0009.mp4,19,asd,True,True,0.0,0.4,0.4
video_0001,0010,1.0,0.8712158203125,0.73138475,0.2368407398462295,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0010.mp4,18,asd,True,True,0.6,1.0,0.4
video_0001,0011,1.0,0.8638916015625,0.7919201,0.5158278346061707,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0011.mp4,12,asd,True,True,0.6,1.0,0.6
video_0001,0012,-1.0,0.4724979400634765,0.10685193,-0.7279245853424072,valid,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0012.mp4,5,asd,True,True,-0.6,-1.0,-1.0
video_0001,0013,0.0,0.72265625,-0.25050813,-0.590833306312561,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0013.mp4,15,asd,True,True,-0.2,0.6,-0.8
video_0001,0014,-0.2,-0.2548370361328125,-0.52009284,-0.6975106000900269,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0014.mp4,9,asd,True,True,-0.2,-0.2,-1.0
video_0001,0015,-1.0,-0.954833984375,-0.9721899,-0.7854297161102295,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0015.mp4,15,asd,True,True,-0.6,-1.0,-0.6
video_0001,0016,-1.0,-0.9788818359375,-0.92684907,-0.6914221048355103,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0016.mp4,24,asd,True,True,-0.8,-1.0,-0.8
video_0001,0017,1.0,0.099334716796875,0.8971299,0.7131350040435791,test,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0017.mp4,22,asd,True,True,1.0,1.0,1.0
video_0001,0018,1.0,0.8284912109375,0.7955284,0.6077264547348022,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0018.mp4,22,asd,True,True,0.0,1.0,0.6
video_0001,0019,-1.0,-0.827880859375,-0.96612674,-0.7493979334831238,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0019.mp4,28,asd,True,True,-1.0,-1.0,0.0
video_0001,0020,-0.8,-0.3288421630859375,-0.94580114,-0.8327848315238953,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0020.mp4,8,asd,True,True,-1.0,-0.4,-1.0
video_0001,0021,0.6,0.2285079956054687,-0.080747284,0.1229601874947547,valid,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0021.mp4,16,asd,True,True,0.6,0.8,0.8
video_0001,0022,-1.0,0.27459716796875,-0.8802796,-0.892008364200592,valid,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0022.mp4,33,asd,True,True,-1.0,-1.0,-1.0
video_0001,0023,1.0,0.8922119140625,0.6933528,0.491435170173645,valid,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0023.mp4,25,asd,True,True,0.8,1.0,0.6
video_0001,0024,-0.4,-0.206329345703125,0.18979362,0.320754200220108,train,/content/datasets/CH-SIMS-V2/ch-simsv2s/Raw/video_0001/0024.mp4,24,asd,True,True,0.2,-0.2,0.4
